run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
financial_conversion/batch049_concentration_partial_revert_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch050_all79_spaced_period_months,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch051_localized_series_guard_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch052_all79_localized_series_guard,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch054_all79_threshold_exclusion,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,,1
financial_conversion/batch056_all79_ultimate_supplier_with_controls,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch060_all79_parsed_support,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch060_all79_parsed_support_with_controls,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch062_all79_concentration_phrases_with_controls,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch067_all79_ranked_disclosure_support_with_controls,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch067b_all79_ranked_disclosure_support_with_controls,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch073_root_refresh,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch074_concentration_structural_ranking_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch075_qualitative_concentration_review_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch076_all79_qualitative_concentration_review,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch078_deep_concentration_evidence_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/forensic_013,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,,1
forensics/batch050_all79_root_refresh,forensics,complete,forensic_summary.json,,,,,,,,,,,,,,,,,1
